Description,StockCode,UnitPrice,ProfitMargin,DiscountedPrice,DiscountPct
PURPLE ANEMONE ARTIFICIAL FLOWER,84802B,1.69,1.03,1.34,0.21
WHITE ALLIUM  ARTIFICIAL FLOWER,84803B,1.69,0.57,1.57,0.07
TOILET SIGN OCCUPIED OR VACANT,23182,0.83,0.05,0.32,0.61
SMALL BLUE PROVENCAL CERAMIC BALL,20796,1.65,0.69,0.86,0.48
PANTRY WASHING UP BRUSH,22979,1.45,0.1,1.01,0.3
TREASURE ISLAND BOOK BOX,23177,2.25,1.31,2.11,0.06
BUFFALO BILL TREASURE BOOK BOX,23193,2.25,0.37,1.85,0.18
GYMKHANNA TREASURE BOOK BOX,23194,2.25,1.19,1.46,0.35
ABC TREASURE BOOK BOX,23176,2.25,2.17,2.18,0.03
PANTRY PASTRY BRUSH,22982,1.25,1.07,1.11,0.11
DOLLCRAFT GIRL AMELIE KIT,23126,4.95,2.7,3.32,0.33
DOLLCRAFT GIRL NICOLE,23127,4.95,2.76,4.8,0.03
CLEAR STATIONERY BOX SET,16020C,0.85,0.22,0.82,0.04
SILVER/BLACK PENDANT ORBIT NECKLACE,90016C,8.32,3.6,8.07,0.03
BAROQUE BUTTERFLY EARRINGS PINK,90025D,3.73,3.38,3.47,0.07
FELTCRAFT BOY JEAN-PAUL KIT,23128,4.95,4.28,4.5,0.09
MOTHER'S KITCHEN SPOON REST,23183,3.75,1.59,2.66,0.29
CLOCK MAGNET MUM'S KITCHEN,23179,2.89,0.53,2.34,0.19
JAM CLOCK MAGNET,23178,2.89,1.31,2.6,0.1
PANTRY APPLE CORER,22981,1.45,1.24,1.36,0.06
WHITE WITH BLACK CATS PLATE,37423,0.85,0.07,0.28,0.67
MUM'S KITCHEN CLOCK,23180,4.95,2.11,3.76,0.24
RECYCLED ACAPULCO MAT RED,23049,8.25,3.97,7.18,0.13
RECYCLED ACAPULCO MAT PINK,23053,8.25,2.78,3.79,0.54
RECYCLED ACAPULCO MAT LAVENDER,23054,8.25,3.62,4.54,0.45
RECYCLED ACAPULCO MAT GREEN,23050,8.25,7.08,7.34,0.11
RECYCLED ACAPULCO MAT TURQUOISE,23052,8.25,6.06,6.68,0.19
RECYCLED ACAPULCO MAT BLUE,23051,8.25,0.23,2.8,0.66
"S/4 ICON COASTER,ELVIS LIVES",79026B,1.25,0.26,1.03,0.18
FRENCH STYLE STORAGE JAR JAM,23185,1.25,1.0,1.12,0.1
BULL DOG BOTTLE OPENER,23184,4.95,3.7,4.5,0.09
PINK CRYSTAL GUITAR PHONE CHARM,90084,0.85,0.47,0.76,0.11
BLACK FEATHER CHRISTMAS DECORATION,35607B,0.19,0.12,0.14,0.26
GLASS AND BEADS BRACELET IVORY,90038C,3.75,2.92,3.64,0.03
PURPLE/TURQ FLOWERS HANDBAG,62096B,1.25,0.15,0.24,0.81
CROCHET ROSE DES CLOTHES HANGER,84593,2.95,0.79,1.33,0.55
BLUE HOLE PUNCH,16248B,1.25,0.43,0.61,0.51
BABY MOUSE RED GINGHAM DRESS,21841,4.25,1.7,3.27,0.23
BULL DOG BOTTLE TOP WALL CLOCK,23181,8.25,3.32,7.75,0.06
FRENCH STYLE STORAGE JAR BONBONS,23187,1.25,0.78,0.8,0.36
FRENCH STYLE STORAGE JAR CAFE,23186,1.25,1.22,1.23,0.02
YELLOW/BLUE RETRO RADIO,84086B,2.95,1.92,2.6,0.12
"RETRO PILL BOX KEY CHAIN,THE KING",79063C,0.19,0.02,0.08,0.56
CIRCUS PARADE BABY GIFT SET,23010,16.95,14.81,15.59,0.08
SPACEBOY BABY GIFT SET,23007,16.95,2.13,12.88,0.24
I LOVE LONDON BABY GIFT SET,23009,14.95,12.58,13.31,0.11
DOLLY GIRL BABY GIFT SET,23008,14.95,1.96,5.23,0.65
ENGLISH ROSE NOTEBOOK A6 SIZE,84535A,0.65,0.45,0.58,0.11
PASTEL PINK PHOTO ALBUM,16202A,0.5,0.33,0.43,0.13
BLUE POLKADOT BEAKER,21395,1.63,1.15,1.32,0.19
BLUE FLYING SINGING CANARY,85098B,3.75,1.84,2.03,0.46
HELLO SAILOR BATHROOM SET,84842,3.75,2.72,3.11,0.17
HEN HOUSE W CHICK IN NEST,84227,0.42,0.12,0.32,0.23
WRAP BAD HAIR DAY,16161G,0.1,0.06,0.08,0.23
CHARLIE AND LOLA FIGURES TINS,85132c,8.29,4.54,7.46,0.1
PIECE OF CAMO STATIONERY SET,16259,0.21,0.11,0.2,0.05
WINE BOTTLE DRESSING LT.BLUE,47013A,0.29,0.2,0.25,0.14
DOORMAT CHRISTMAS VILLAGE,22687,15.79,3.37,3.47,0.78
WIRE FLOWER T-LIGHT HOLDER,84977,1.25,0.69,1.01,0.19
SET OF 16 VINTAGE IVORY CUTLERY,84968B,12.75,11.66,11.73,0.08
MONTANA DIAMOND CLUSTER NECKLACE,90075,8.95,4.9,6.26,0.3
"RUBY GLASS NECKLACE 42""",90068,7.5,6.15,7.2,0.04
PINK FLOWERS RABBIT EASTER,35910B,1.95,0.2,1.35,0.31
PINK SMALL GLASS CAKE STAND,84750A,1.95,0.2,0.35,0.82
FLAG OF ST GEORGE CHAIR,78033,5.95,1.81,2.14,0.64
YELLOW PINK FLOWER DESIGN BIG BOWL,37488A,0.39,0.15,0.23,0.4
FRENCH CHATEAU OVAL PLATTER,85030,1.95,1.42,1.87,0.04
ASSORTED SANSKRIT MINI NOTEBOOK,21637,1.25,0.46,1.19,0.05
BLUE FLOWER DES PURSE,47344B,1.25,0.79,1.07,0.14
ELVIS WALLHANGING / CURTAIN,46126A,1.25,0.73,1.03,0.18
AMETHYST 3 BEAD DROP EARRINGS,90182B,2.9,1.56,2.23,0.23
BIG POLKADOT MUG,37330,0.39,0.11,0.13,0.67
GREEN MURANO TWIST NECKLACE,90124C,9.98,5.5,7.19,0.28
PINK/AMETHYST/GOLD NECKLACE,90131,6.95,6.44,6.46,0.07
ASSORTED COLOUR SILK GLASSES CASE,85224,2.1,0.3,0.55,0.74
DOUGHNUT LIP GLOSS,23077,1.25,0.72,1.16,0.07
ICE CREAM SUNDAE LIP GLOSS,23076,1.25,0.81,1.23,0.02
ICE CREAM PEN LIP GLOSS,23078,1.25,0.18,0.44,0.65
OPEN CLOSED METAL SIGN,21770,4.95,4.2,4.31,0.13
WINE BOTTLE DRESSING DARK BLUE,47013C,0.29,0.1,0.16,0.46
CROCHET BEAR RED/BLUE  KEYRING,84548,1.65,1.01,1.42,0.14
FAN BLACK FRAME,15030,0.29,0.17,0.22,0.23
SET OF 5 PANCAKE DAY MAGNETS,23159,2.08,0.97,1.98,0.05
SET OF 4 JAM JAR MAGNETS,23154,2.08,1.0,1.62,0.22
SET OF 5 MINI GROCERY MAGNETS,23156,2.08,1.23,1.66,0.2
KNICKERBOCKERGLORY MAGNET ASSORTED,23155,0.83,0.31,0.42,0.49
PACK 4 FLOWER/BUTTERFLY PATCHES,84569C,1.25,0.05,0.12,0.9
SET OF 5 LUCKY CAT MAGNETS,23158,1.85,0.96,1.09,0.41
JARDIN ETCHED GLASS LARGE BELL JAR,85145,12.75,9.02,10.96,0.14
MUMMY MOUSE RED GINGHAM RIBBON,21839,5.45,2.33,2.62,0.52
FRENCH CHATEAU SMALL FRUITBOWL,85028S,1.95,0.93,1.38,0.29
FRENCH CHATEAU LARGE FRUIT BOWL,85028L,1.95,1.34,1.54,0.21
LUSH GREENS RIBBONS,85049b,2.46,1.41,1.62,0.34
BRIGHT BLUES RIBBONS,85049d,2.46,2.4,2.41,0.02
SMALL TAHITI BEACH BAG,84856S,4.65,2.66,3.35,0.28
GOLDIE LOOKING MIRROR,20821,4.95,0.61,3.91,0.21
ORANGE FELT VASE + FLOWERS,84743C,1.25,0.29,0.3,0.76
SET OF 6 NATIVITY MAGNETS,23157,2.08,1.76,2.02,0.03
SET OF 12 ROSE BOTANICAL T-LIGHTS,21614,5.79,0.53,1.79,0.69
CROCHET WHITE RABBIT KEYRING,84549,3.29,2.76,3.03,0.08
SILVER/BLACK ORBIT NECKLACE,90014C,9.95,2.99,6.67,0.33
VINTAGE BEAD COSMETIC BAG,35649,3.35,0.85,1.98,0.41
ENAMEL BLUE RIM TEA CONTAINER,35809B,0.83,0.78,0.81,0.03
BEACH HUT MIRROR,84686,4.25,2.12,3.57,0.16
BLUE CAT BISCUIT BARREL PINK HEART,84576,4.13,2.73,4.01,0.03
PINK ROUND COMPACT MIRROR,84877A,1.25,0.57,0.57,0.54
BLUE SQUARE COMPACT MIRROR,84875D,1.25,0.99,1.11,0.11
CHILDRENS CUTLERY DOLLY GIRL,23254,4.15,0.31,2.74,0.34
CHILDRENS CUTLERY SPACEBOY,23256,4.15,3.5,3.86,0.07
NEW BAROQUE B'FLY NECKLACE PINK,90024D,8.5,5.47,5.69,0.33
CHILDRENS CUTLERY CIRCUS PARADE,23255,4.15,2.97,3.94,0.05
BOTANICAL LILY GIFT WRAP,22039,0.42,0.3,0.3,0.28
BAROQUE BUTTERFLY EARRINGS BLACK,90025A,3.75,0.88,2.33,0.38
YELLOW/ORANGE FLOWER DESIGN PLATE,37487B,0.29,0.17,0.24,0.17
SWEETHEART KEY CABINET,84839,5.55,3.2,4.61,0.17
CHARLOTTE BAG VINTAGE ALPHABET,23205,0.85,0.03,0.76,0.11
JUMBO BAG ALPHABET,23201,2.08,0.38,0.56,0.73
LUNCH BAG ALPHABET DESIGN,23207,1.65,1.36,1.5,0.09
JUMBO BAG APPLES,23199,2.08,1.94,1.98,0.05
LUNCH BAG APPLE DESIGN,23206,1.65,0.88,1.35,0.18
CHARLOTTE BAG APPLES DESIGN,23204,0.85,0.39,0.4,0.53
LUNCH BAG VINTAGE LEAF DESIGN,23208,1.65,0.46,1.11,0.33
S/2 BEACH HUT TREASURE CHESTS,84689,5.95,4.13,4.94,0.17
PINK FEATHERS CURTAIN,44242B,1.25,0.97,1.15,0.08
CHARLIE AND LOLA TABLE TINS,85132b,8.29,2.71,6.05,0.27
SET OF 4 GREEN CAROUSEL COASTERS,84510e,2.46,0.44,1.8,0.27
3 BIRDS CANVAS SCREEN,84731,1.65,0.93,1.25,0.24
LARGE DECO JEWELLERY STAND,23065,12.5,11.14,12.25,0.02
PASTEL BLUE PHOTO ALBUM,16202B,0.5,0.18,0.23,0.53
HEART BEADED TRELLIS DECORATION,23060,2.08,0.32,0.81,0.61
GEMSTONE CHANDELIER T-LIGHT HOLDER,23057,4.15,0.91,3.2,0.23
16 PIECE CUTLERY SET PANTRY DESIGN,23253,33.29,25.84,25.97,0.22
CHILDRENS TOY COOKING UTENSIL SET,23348,4.13,1.35,2.48,0.4
BLACK GLASS/SHELL/PEARL NECKLACE,90181C,9.15,5.89,8.42,0.08
SMALL DECO JEWELLERY STAND,23066,8.25,6.51,6.93,0.16
ALUMINIUM STAMPED HEART,23068,2.49,1.85,2.24,0.1
DOUBLE CERAMIC PARLOUR HOOK,23075,4.15,3.19,3.36,0.19
ZINC SWEETHEART WIRE LETTER RACK,23153,3.75,3.18,3.6,0.04
"FLOWER GLASS GARLAND NECKL.36""BLUE",90036C,7.9,4.79,5.61,0.29
GEORGIAN TRINKET BOX,23073,12.5,12.49,12.38,0.01
ORANGE/FUSCHIA STONES NECKLACE,90135A,4.98,3.29,4.23,0.15
COTE D'AZURE NECKLACE,90159,4.98,3.67,4.83,0.03
TRIPLE HOOK ANTIQUE IVORY ROSE,23146,3.29,1.29,2.07,0.37
VINTAGE EMBOSSED HEART,23061,1.25,0.1,0.19,0.85
GOLD WINE GOBLET,20823,0.79,0.39,0.55,0.31
GOLD APERITIF GLASS,20827,0.39,0.29,0.35,0.1
IVORY CHANDELIER T-LIGHT HOLDER,23055,6.25,2.16,5.94,0.05
FLOWERS CHANDELIER T-LIGHT HOLDER,23056,6.25,5.62,5.62,0.1
ROSE DU SUD CUSHION COVER,20997,4.13,3.39,3.47,0.16
TRIPLE WIRE HOOK IVORY HEART,23140,4.15,3.21,3.61,0.13
TRIPLE WIRE HOOK PINK HEART,23141,4.15,2.37,2.53,0.39
SMALL ZINC HEART WALL ORGANISER,23135,5.75,3.16,4.37,0.24
SMALL IVORY HEART WALL ORGANISER,23132,5.75,1.32,1.84,0.68
MARIE ANTOIENETT TRINKET BOX GOLD,23071,12.5,11.55,11.88,0.05
IVORY SWEETHEART WIRE LETTER RACK,23152,3.75,2.35,3.19,0.15
LARGE ZINC HEART WALL ORGANISER,23134,7.05,3.45,4.86,0.31
LARGE IVORY HEART WALL ORGANISER,23133,7.05,0.3,4.72,0.33
60 GOLD AND SILVER FAIRY CAKE CASES,84990,0.55,0.23,0.24,0.56
SINGLE ANTIQUE ROSE HOOK IVORY,23147,1.45,1.4,1.41,0.03
MINIATURE ANTIQUE ROSE HOOK IVORY,23148,0.83,0.15,0.28,0.66
ZINC T-LIGHT HOLDER STARS SMALL,23144,0.72,0.24,0.35,0.51
IVORY WIRE KITCHEN ORGANISER,23142,10.4,5.37,10.09,0.03
IVORY WIRE SWEETHEART LETTER TRAY,23136,3.75,0.91,2.74,0.27
SINGLE WIRE HOOK PINK HEART,23139,1.45,0.08,0.22,0.85
SINGLE WIRE HOOK IVORY HEART,23138,1.45,0.55,0.97,0.33
IVORY SWEETHEART SOAP DISH,23150,2.49,1.59,2.29,0.08
ZINC T-LIGHT HOLDER STAR LARGE,23145,0.95,0.88,0.91,0.04
BAROQUE BUTTERFLY EARRINGS RED,90025B,3.73,3.6,3.62,0.03
ZINC WIRE SWEETHEART LETTER TRAY,23137,3.75,0.58,1.84,0.51
LILAC VOTIVE CANDLE,72024U,0.21,0.18,0.19,0.1
TEATIME GEL PENS ASST,16049,0.42,0.14,0.28,0.33
EDWARDIAN PHOTO FRAME,23069,6.25,0.48,2.63,0.58
MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,16244B,0.5,0.12,0.24,0.52
MISTLETOE HEART WREATH CREAM,23131,4.15,1.1,1.74,0.58
HANGING ENGRAVED METAL HEART,23067,4.15,2.93,3.74,0.1
BLUE TABLE RUN FLOWER,47341B,1.25,0.75,1.06,0.15
BLUE STRIPES SHOULDER BAG,62097B,0.83,0.25,0.3,0.64
BLUE CHECK BAG W HANDLE 34X20CM,62043B,0.83,0.29,0.7,0.16
LASER CUT MULTI STRAND NECKLACE,90021,11.95,6.86,10.87,0.09
REGENCY SUGAR TONGS,23163,2.49,1.84,2.29,0.08
DOORMAT KEEP CALM AND COME IN,23284,6.75,6.2,6.21,0.08
DOORMAT VINTAGE LEAVES DESIGN,23283,7.95,2.32,3.26,0.59
REGENCY TEA STRAINER,23162,3.75,1.79,2.59,0.31
FLAG OF ST GEORGE CAR FLAG,84016,0.83,0.79,0.81,0.03
FRENCH LATTICE CUSHION COVER,20838,3.29,3.15,3.19,0.03
SMALL ZINC/GLASS CANDLEHOLDER,72811,1.25,0.73,0.98,0.22
GOLD FLOWER CUSHION COVER,20816,1.95,0.31,0.96,0.51
SET OF 10 LANTERNS FAIRY LIGHT STAR,23048,4.15,0.18,0.29,0.93
PAPER LANTERN 7 POINT SNOW STAR,23042,6.65,3.21,5.79,0.13
PAPER LANTERN 9 POINT SNOW STAR,23041,4.15,1.5,2.61,0.37
PAPER LANTERN 9 POINT SNOW STAR,23040,5.75,0.51,2.76,0.52
CINDERELLA CHANDELIER,23064,49.95,23.43,45.95,0.08
BLING KEY RING STAND,85225,1.25,0.42,1.21,0.03
MULTICOLOUR POLKADOT PLATE,37471,6.63,1.64,6.23,0.06
MISTLETOE HEART WREATH GREEN,23130,4.15,4.12,4.07,0.02
WHITE 3 FRAME BIRDS AND TREE,84629,21.95,16.5,19.54,0.11
WRAP SUMMER ROSE DESIGN,22987,0.42,0.12,0.38,0.09
FRENCH PAISLEY CUSHION COVER,20836,0.83,0.49,0.63,0.24
REGENCY TEA SPOON,23160,1.04,0.97,1.01,0.03
REGENCY CAKE FORK,23161,1.04,0.64,0.64,0.38
REGENCY CAKE SLICE,23164,4.15,0.2,1.41,0.66
ANTIQUE IVORY WIRE BOWL SMALL,23149,2.49,1.28,1.94,0.22
PINK FLOCK PHOTO FRAME,84705C,1.25,0.64,1.12,0.1
ZINC WIRE KITCHEN ORGANISER,23143,10.4,2.36,3.64,0.65
FOOD COVER WITH BEADS SET 2,23299,3.75,2.78,3.19,0.15
SPOTTY BUNTING,23298,4.95,4.88,4.85,0.02
EDWARDIAN HEART PHOTO FRAME,23070,4.15,3.73,4.07,0.02
ZINC SWEETHEART SOAP DISH,23151,2.49,1.59,2.32,0.07
CRYSTAL STUD EARRINGS CLEAR DISPLAY,90058A,0.38,0.29,0.33,0.14
PAPER LANTERN 9 POINT HOLLY STAR 40,23043,6.25,0.14,0.94,0.85
PAPER LANTERN 5 POINT STAR MOON 30,23045,4.15,1.04,1.45,0.65
POLYESTER FILLER PAD 60x40cm,20964,2.55,0.64,2.12,0.17
BLUE DISCO HANDBAG,84859B,1.95,0.2,0.53,0.73
JUMBO BAG VINTAGE LEAF,23202,2.08,0.69,0.94,0.55
JUMBO BAG PEARS,23200,2.08,1.6,1.83,0.12
JUMBO BAG DOILEY PATTERNS,23203,2.08,1.75,1.83,0.12
LUNCH BAG DOILEY PATTERN,23209,1.65,1.37,1.53,0.07
MARIE ANTOINETTE TRINKET BOX SILVER,23072,12.5,8.86,11.62,0.07
PAPER LANTERN 9 POINT DELUXE STAR,23046,6.65,5.44,5.59,0.16
PAPER LANTERN 5 POINT SEQUIN STAR,23047,5.75,2.97,3.45,0.4
PAPER LANTERN 9 POINT HOLLY STAR S,23044,4.15,3.1,3.24,0.22
FLOWER GARLAND NECKLACE RED,90036A,7.95,3.42,3.82,0.52
CRYSTAL CZECH CROSS PHONE CHARM,90083,1.63,0.39,1.09,0.33
FOLDING BUTTERFLY MIRROR IVORY,23282,0.83,0.77,0.81,0.03
FOLDING BUTTERFLY MIRROR HOT PINK,23280,0.83,0.4,0.64,0.23
BUNDLE OF 3 SCHOOL EXERCISE BOOKS,23190,1.65,0.11,1.6,0.03
BUNDLE OF 3 RETRO NOTE BOOKS,23191,1.65,0.76,1.11,0.33
BUNDLE OF 3 ALPHABET EXERCISE BOOKS,23192,1.65,1.15,1.57,0.05
REGENCY MILK JUG PINK,23175,3.25,1.35,2.31,0.29
REGENCY SUGAR BOWL GREEN,23174,4.15,3.32,3.53,0.15
REGENCY TEAPOT ROSES,23173,8.15,7.74,7.74,0.05
REGENCY TEA PLATE PINK,23172,1.65,1.58,1.58,0.04
REGENCY TEA PLATE GREEN,23171,1.65,1.04,1.12,0.32
REGENCY TEA PLATE ROSES,23170,1.65,0.64,1.37,0.17
GREEN METAL BOX ARMY SUPPLIES,23081,8.25,5.18,6.6,0.2
RABBIT NIGHT LIGHT,23084,2.08,1.76,2.04,0.02
FOLDING BUTTERFLY MIRROR RED,23281,0.83,0.66,0.67,0.19
SET OF 4 FAIRY CAKE PLACEMATS,84509g,7.46,5.79,6.49,0.13
PARISIENNE JEWELLERY DRAWER,23118,7.5,6.58,6.75,0.1
PETIT TRAY CHIC,23096,1.65,0.96,1.22,0.26
ZINC HERB GARDEN CONTAINER,23091,6.25,3.06,3.5,0.44
LE GRAND TRAY CHIC SET,23094,12.5,9.27,11.38,0.09
SET OF 10 LED DOLLY LIGHTS,23108,6.25,0.31,0.56,0.91
RED METAL BOX TOP SECRET,23080,8.25,7.43,7.59,0.08
PARISIENNE KEY CABINET,23110,5.75,3.31,4.72,0.18
SILVER BELLS TABLE DECORATION,23100,1.25,0.23,0.47,0.62
SILVER HEARTS TABLE DECORATION,23102,0.83,0.72,0.72,0.13
SET 6 PAPER TABLE LANTERN HEARTS,23082,3.75,0.3,0.56,0.85
FLOWERS HANDBAG blue and orange,16151A,1.25,0.89,0.89,0.29
SMALL PARISIENNE HEART PHOTO FRAME,23093,2.49,1.78,2.42,0.03
LED TEA LIGHTS,23109,2.49,1.94,2.22,0.11
BELL HEART DECORATION,23103,1.65,1.11,1.24,0.25
PARISIENNE CURIO CABINET,23112,7.5,6.3,6.53,0.13
PARISIENNE SEWING BOX,23111,12.5,9.26,10.0,0.2
TOADSTOOL BEDSIDE LIGHT,23079,8.95,2.24,5.28,0.41
SMALL CERAMIC TOP STORAGE JAR,23167,0.69,0.1,0.51,0.26
IVORY PANTRY HANGING LAMP,23104,12.5,11.66,12.0,0.04
CLASSIC SUGAR DISPENSER,23168,1.25,0.65,0.66,0.47
CLASSIC GLASS SWEET JAR,23169,4.15,0.45,0.46,0.89
LARGE CERAMIC TOP STORAGE JAR,23165,1.45,0.58,0.59,0.59
SILVER STARS TABLE DECORATION,23101,0.83,0.14,0.61,0.26
GLASS BON BON JAR,23089,1.65,0.68,0.86,0.48
WHITE WIRE PLANT POT HOLDER,23107,2.89,1.85,1.88,0.35
ZINC HEART FLOWER T-LIGHT HOLDER,23088,2.46,0.45,2.21,0.1
ZINC HEARTS PLANT POT HOLDER,23106,2.89,1.8,1.85,0.36
ZINC  HEART T-LIGHT HOLDER,23087,1.25,0.91,1.0,0.2
"PEARL & SHELL 42""NECKL. IVORY",90035C,10.75,8.39,10.43,0.03
SET 6 PAPER TABLE LANTERN STARS,23083,3.75,3.42,3.64,0.03
GARDENERS KNEELING PAD KEEP CALM,23301,1.65,1.31,1.34,0.19
GARDENERS KNEELING PAD CUP OF TEA,23300,1.45,1.23,1.38,0.05
KNEELING MAT HOUSEWORK  DESIGN,23302,1.65,1.0,1.2,0.27
ENGLISH ROSE SCENTED HANGING HEART,47574B,4.25,2.5,3.91,0.08
VINTAGE GLASS T-LIGHT HOLDER,23090,0.83,0.23,0.76,0.08
LARGE ANTIQUE WHITE PHOTO FRAME,23092,7.9,2.74,6.4,0.19
ANTIQUE SILVER BAUBLE LAMP,23085,10.4,4.65,8.11,0.22
FRENCH CARRIAGE LANTERN,23099,6.65,2.05,3.33,0.5
ZINC  STAR T-LIGHT HOLDER,23086,1.25,0.45,1.03,0.18
FUNKY FLOWER PICNIC BAG FOR 4,84873A,16.95,7.32,8.14,0.52
WHITE SQUARE TABLE CLOCK,84661a,4.96,0.85,3.87,0.22
HEART SHAPED HOLLY WREATH,23129,4.15,3.19,3.24,0.22
LILY BROOCH WHITE/SILVER COLOUR,90081B,4.95,4.11,4.8,0.03
BLUE DELPHINIUM ARTIFICIAL FLOWER,84804B,2.95,0.36,1.24,0.58
RED PEONY CUSHION COVER,84984B,4.65,1.05,2.56,0.45
GREEN PEONY CUSHION COVER,84984A,4.65,3.34,3.39,0.27
SILVER FLOWR PINK SHELL NECKLACE,90149,7.5,1.02,2.47,0.67
3 GARDENIA MORRIS BOXED CANDLES,85034a,8.29,0.67,2.16,0.74
CAPIZ CHANDELIER,21310,29.95,20.39,27.85,0.07
SILVER BLACK ORBIT DROP EARRINGS,90018C,4.15,3.48,4.03,0.03
FILIGREE HEART BIRD WHITE,23228,1.25,1.0,1.06,0.15
BISCUITS SMALL BOWL LIGHT BLUE,84596l,2.46,1.93,2.36,0.04
FILIGREE HEART BUTTERFLY WHITE,23227,1.25,1.17,1.21,0.03
Next Day Carriage,23444,15.0,13.57,14.1,0.06
CHERRY BLOSSOM PURSE,20667,2.95,0.11,0.83,0.72
FILIGREE HEART DAISY WHITE,23226,1.25,0.9,0.93,0.26
REINDEER HEART DECORATION SILVER,23221,1.63,0.27,0.73,0.55
CHAMPAGNE TRAY BLANK CARD,84206C,0.19,0.18,0.18,0.05
JINGLE BELL HEART ANTIQUE GOLD,23214,2.08,0.53,1.75,0.16
JINGLE BELL HEART ANTIQUE SILVER,23215,2.08,1.78,1.89,0.09
WHITE ROCKING HORSE HAND PAINTED,23210,1.25,0.6,0.6,0.52
STAR WREATH DECORATION WITH BELL,23213,1.25,0.77,1.2,0.04
HEART WREATH DECORATION WITH BELL,23212,1.25,0.61,0.68,0.46
LAUREL STAR ANTIQUE SILVER,23219,1.25,0.64,0.89,0.29
CHERUB HEART DECORATION GOLD,23224,0.83,0.74,0.81,0.03
RED ROCKING HORSE HAND PAINTED,23211,1.04,0.84,0.88,0.15
LAUREL HEART ANTIQUE GOLD,23216,1.04,0.49,0.82,0.21
LAUREL HEART ANTIQUE SILVER,23217,1.04,0.87,0.88,0.15
CHERUB HEART DECORATION SILVER,23225,0.72,0.29,0.4,0.44
WHITE STITCHED WALL CLOCK,84660a,7.46,2.2,6.56,0.12
SET OF 3 HANGING OWLS OLLIE BEAK,23275,1.25,0.82,1.15,0.08
SET OF 3 WOODEN HEART DECORATIONS,23263,1.25,0.81,1.03,0.18
SET OF 60 I LOVE LONDON CAKE CASES,23309,0.55,0.37,0.47,0.14
SET OF 2 CERAMIC PAINTED HEARTS,23270,1.45,1.29,1.36,0.06
SET OF 60 PANTRY DESIGN CAKE CASES,23307,0.55,0.07,0.37,0.32
SET OF 36 DOILIES PANTRY DESIGN,23306,1.45,0.83,0.87,0.4
SET OF 60 VINTAGE LEAF CAKE CASES,23308,0.55,0.54,0.54,0.02
HEART T-LIGHT HOLDER WILLIE WINKIE,23273,1.65,1.5,1.58,0.04
STAR T-LIGHT HOLDER WILLIE WINKIE,23274,1.65,1.1,1.44,0.13
BAROQUE BUTTERFLY EARRINGS MONTANA,90025E,3.73,1.48,2.16,0.42
MIRRORED WALL ART SNOWFLAKES,21373,0.75,0.73,0.73,0.02
POP ART PUSH DOWN RUBBER,16043,0.12,0.05,0.1,0.15
WHITE FRANGIPANI HAIR CLIP,90102,0.85,0.05,0.22,0.74
SET OF 4 KNICK KNACK TINS DOILEY,23240,4.15,0.12,1.87,0.55
SET OF 4 KNICK KNACK TINS LONDON,23238,4.15,2.93,3.32,0.2
VINTAGE KEEPSAKE BOX PINK FLOWER,20901,4.13,1.57,2.19,0.47
SET OF TEA COFFEE SUGAR TINS PANTRY,23243,4.15,2.98,3.86,0.07
PINK FLOCK SUEDE CUSHION COVER,84415A,1.25,0.57,1.01,0.19
SET OF 3 REGENCY CAKE TINS,23245,4.95,3.67,3.66,0.26
SET OF 4 KNICK KNACK TINS POPPIES,23239,4.15,2.66,3.74,0.1
DOILEY STORAGE TIN,23236,2.89,2.54,2.72,0.06
STORAGE TIN VINTAGE LEAF,23235,2.89,2.0,2.49,0.14
TREASURE TIN GYMKHANA DESIGN,23241,2.08,0.62,1.62,0.22
TREASURE TIN BUFFALO BILL,23242,2.08,1.17,1.66,0.2
BISCUIT TIN 50'S CHRISTMAS,23247,2.89,2.4,2.46,0.15
ROUND STORAGE TIN VINTAGE LEAF,23244,1.95,0.96,1.17,0.4
SET OF 4 KNICK KNACK TINS LEAVES,23237,4.15,1.01,2.91,0.3
36 DOILIES VINTAGE CHRISTMAS,22950,1.45,0.8,1.16,0.2
"METAL SIGN,CUPCAKE SINGLE HOOK",82613a,2.46,1.25,1.67,0.32
FOLKART CHRISTMAS TREE T-LIGHT HOLD,35966,0.38,0.27,0.27,0.28
BUBBLEGUM RING ASSORTED,23310,0.42,0.22,0.37,0.11
SMALL WHITE HEART OF WICKER,23321,1.69,1.03,1.4,0.17
REINDEER HEART DECORATION GOLD,23220,0.83,0.66,0.76,0.09
SET OF 3 WOODEN SLEIGH DECORATIONS,23264,2.5,1.44,2.38,0.05
SET OF 3 WOODEN TREE DECORATIONS,23265,2.5,2.43,2.42,0.03
SET OF 3 WOODEN STOCKING DECORATION,23266,2.5,2.28,2.45,0.02
DANISH ROSE UMBRELLA STAND,84824,15.95,4.15,9.73,0.39
SET OF 2 CERAMIC CHRISTMAS TREES,23269,1.45,0.19,0.25,0.83
SET OF 2 CERAMIC CHRISTMAS REINDEER,23268,1.45,0.68,1.33,0.08
VINTAGE RED ENAMEL TRIM JUG,23252,3.75,0.58,0.82,0.78
LARGE WHITE HEART OF WICKER,23322,2.95,2.88,2.89,0.02
DOLPHIN WINDMILL,77079,2.12,0.66,0.7,0.67
